Timestamp,Occupancy,Capacity,price_model1,price_model2
2016-10-04 07:59:00,61,577,10.211438474870018,11.115295761284184
2016-10-04 08:25:00,64,577,10.221837088388215,10.322954035350806
2016-10-04 08:59:00,80,577,10.277296360485268,10.37860578080706
2016-10-04 09:32:00,107,577,10.370883882149046,13.282235599986961
2016-10-04 09:59:00,150,577,10.51993067590988,12.629023237694215
2016-10-04 10:26:00,177,577,10.613518197573656,11.518770915842005
2016-10-04 10:59:00,219,577,10.759098786828423,13.671797818180721
2016-10-04 11:25:00,247,577,10.856152512998268,13.769188372729161
2016-10-04 11:59:00,259,577,10.897746967071058,13.810927181821349
2016-10-04 12:29:00,266,577,10.922010398613518,13.032498392252037
2016-10-04 13:02:00,269,577,10.932409012131716,11.838768452215449
2016-10-04 13:29:00,263,577,10.911611785095321,13.824840118185413
2016-10-04 14:02:00,238,577,10.824956672443674,12.935107837703598
2016-10-04 14:29:00,215,577,10.74523396880416,13.65788488181666
2016-10-04 14:57:00,192,577,10.665511265164644,10.768167999000816
2016-10-04 15:30:00,165,577,10.571923743500866,11.477032106749816
2016-10-04 16:04:00,162,577,10.56152512998267,12.670762046786404
2016-10-04 16:31:00,143,577,10.495667244367418,13.40745202726353
2016-10-05 07:57:00,54,577,10.187175043327557,12.29511276495671
2016-10-05 08:30:00,59,577,10.204506065857885,13.115280363618211
2016-10-05 09:04:00,71,577,10.246100519930676,13.157019172710399
2016-10-05 09:30:00,83,577,10.287694974003466,13.198757981802586
2016-10-05 10:04:00,114,577,10.395147313691508,12.50380681041765
2016-10-05 10:30:00,128,577,10.44367417677643,10.545561017175814
2016-10-05 11:04:00,148,577,10.512998266897746,10.615125698996126
2016-10-05 11:30:00,162,577,10.56152512998267,12.670762046786404
2016-10-05 12:04:00,178,577,10.616984402079723,12.726413792242655
2016-10-05 12:30:00,183,577,10.634315424610051,13.546581390904159
2016-10-05 12:57:00,175,577,10.606585788561524,13.51875551817603
2016-10-05 13:30:00,179,577,10.620450606585788,13.532668454540094
2016-10-05 13:57:00,174,577,10.60311958405546,12.712500855878591
2016-10-05 14:30:00,158,577,10.547660311958406,12.65684911042234
2016-10-05 14:57:00,145,577,10.50259965337955,11.407467424929504
2016-10-05 15:30:00,129,577,10.447140381282496,11.351815679473251
2016-10-05 16:04:00,121,577,10.419410745233968,11.323989806745125
